formula,target,composition
Ru3Zr1,200.044,Ru3 Zr1
Ir4Th2,200.133,Ir4 Th2
Fe2Ge1Ti1,200.25,Fe2 Ge1 Ti1
Re8Y4,200.267,Re8 Y4
B24Ru4Y8,200.315,B24 Ru4 Y8
B4Ti4,200.412,B4 Ti4
Pt5Pu1,200.489,Pt5 Pu1
Nb6Pt2,200.567,Nb6 Pt2
Al2N2,200.631,Al2 N2
Dy2Ir4,200.644,Dy2 Ir4
C1Ho1Rh3,200.678,C1 Ho1 Rh3
Ni4O8Si2,200.894,Ni4 O8 Si2
Ru8Si12,200.907,Ru8 Si12
Cr4O8,200.917,Cr4 O8
Hf3Ru3Si3,200.924,Hf3 Ru3 Si3
Dy4Re8,200.932,Dy4 Re8
Re8Tb4,200.971,Re8 Tb4
Mo1Si2,201.011,Mo1 Si2
Al8C4Ta12,201.144,Al8 C4 Ta12
Cr4O12W2,201.29,Cr4 O12 W2
Co2Mo2P4,201.46,Co2 Mo2 P4
O8Si2Zr2,201.556,O8 Si2 Zr2
Al1Ru1,201.778,Al1 Ru1
In1Pt5Si1,201.922,In1 Pt5 Si1
Ho4Re8,201.937,Ho4 Re8
Os2P4,202.022,Os2 P4
P4V8,202.131,P4 V8
Hf3Mo3P3,202.268,Hf3 Mo3 P3
Pd2Ta2,202.329,Pd2 Ta2
O1Ta4,202.526,O1 Ta4
O4Ti2,202.612,O4 Ti2
Nb6Rh2,202.622,Nb6 Rh2
C1Er1Rh3,202.65,C1 Er1 Rh3
Ge4Nb4Rh4,202.738,Ge4 Nb4 Rh4
Ga1Ru1,202.872,Ga1 Ru1
C1Lu1Rh3,202.942,C1 Lu1 Rh3
C4Co2Sc2,202.969,C4 Co2 Sc2
Ho2Ir4,203.006,Ho2 Ir4
Mo3Si6,203.017,Mo3 Si6
C4Co8Mo16,203.15,C4 Co8 Mo16
Ag1Pt5Si1,203.29,Ag1 Pt5 Si1
In1P1Pt5,203.653,In1 P1 Pt5
O8Pa4,203.8,O8 Pa4
O2Pa1,203.928,O2 Pa1
As2C2Nb4,203.947,As2 C2 Nb4
B2Ho1Ru3,204.827,B2 Ho1 Ru3
Co2P4W2,204.926,Co2 P4 W2
H1Ni1,205.111,H1 Ni1
C1Nb1,205.122,C1 Nb1
N8Zr6,205.144,N8 Zr6
Er2Ir4,205.167,Er2 Ir4
B24Re4Y8,205.328,B24 Re4 Y8
Pt2Si1,205.521,Pt2 Si1
B1Ce1Rh3,205.611,B1 Ce1 Rh3
Al3Os2,205.633,Al3 Os2
Pb1Pt5Si1,205.654,Pb1 Pt5 Si1
Re3Si3Zr3,205.738,Re3 Si3 Zr3
Ho4Os8,205.768,Ho4 Os8
Be2O2,205.993,Be2 O2
Co2V6,206.111,Co2 V6
Ce4Os8,206.592,Ce4 Os8
C8W4Y4,206.894,C8 W4 Y4
P4Ru4Zr4,206.969,P4 Ru4 Zr4
P3Ru3Zr3,207.033,P3 Ru3 Zr3
Na1O3W1,207.067,Na1 O3 W1
Os8Tb4,207.293,Os8 Tb4
Lu1Pt3,207.483,Lu1 Pt3
Be2C1,207.489,Be2 C1
P2Rh3,207.556,P2 Rh3
Li1Pt7,207.578,Li1 Pt7
Be1O1,207.65,Be1 O1
N1Pd1,207.717,N1 Pd1
Pd3Ta1,207.721,Pd3 Ta1
