compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_reuss
Ru3Zr1,aflow:d00a3e343afa83f9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ru3Zr1_ICSD_185641,221,cP4,200.044
Ir4Th2,aflow:21b1a78a86ff153f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Th1_ICSD_104571,227,cF24,200.133
Fe2Ge1Ti1,aflow:cd5e871a1c5af012,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Fe2Ge1Ti1_ICSD_186057,225,cF16,200.25
Re8Y4,aflow:fada3e5e0d50e8a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Y1_ICSD_150517,194,hP12,200.267
B24Ru4Y8,aflow:88666ec16c8d9c9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B6Ru1Y2_ICSD_603493,55,oP36,200.315
B4Ti4,aflow:97ac1b15cc5c4465,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Ti1_ICSD_24701,62,oP8,200.412
Pt5Pu1,aflow:dd6378dc5a8f1212,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pt5Pu1_ICSD_649510,216,cF24,200.489
Nb6Pt2,aflow:4c085ea810fe5d61,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb3Pt1_ICSD_105203,223,cP8,200.567
Al2N2,aflow:beb8eb07a8a60d28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al1N1_ICSD_163951,194,hP4,200.631
Dy2Ir4,aflow:7cb8e9e9facd592b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1Ir2_ICSD_103211,227,cF24,200.644
C1Ho1Rh3,aflow:0b31604697d14ff4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Ho1Rh3_ICSD_77033,221,cP5,200.678
Ni4O8Si2,aflow:dbc0bba55855baa5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni2O4Si1_ICSD_100544,227,cF56,200.894
Ru8Si12,aflow:232fd098de2a1645,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ru2Si3_ICSD_95587,116,tP20,200.907
Cr4O8,aflow:82055297db35879d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cr1O2_ICSD_185888,205,cP12,200.917
Hf3Ru3Si3,aflow:c555fd348225f9a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Ru1Si1_ICSD_638841,189,hP9,200.924
Dy4Re8,aflow:b17e838001898738,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Re2_ICSD_630140,194,hP12,200.932
Re8Tb4,aflow:3e41a1f628d95c09,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Tb1_ICSD_650154,194,hP12,200.971
Re8Tb4,aflow:9eea25eafebd9a4a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Re2Tb1_ICSD_650152,194,hP12,200.971
Mo1Si2,aflow:884e7137b28e7dbf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mo1Si2_ICSD_105092,139,tI6,201.011
Al8C4Ta12,aflow:3fea678ccdd69279,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al0.4C0.2Ta0.6_ICSD_606257,213,cP24,201.144
Al2N2,aflow:ea80a45670822376,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1N1_ICSD_163950,194,hP4,201.161
Cr4O12W2,aflow:55c34e21ba3cef80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cr2O6W1_ICSD_20314,136,tP18,201.29
Co2Mo2P4,aflow:31e6dce72364afc2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co1Mo1P2_ICSD_624219,194,hP8,201.46
O8Si2Zr2,aflow:16bf6a36c052299d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/O4Si1Zr1_ICSD_100239,141,tI24,201.556
Al1Ru1,aflow:0748412c3a3db28b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Ru1_ICSD_106247,221,cP2,201.778
In1Pt5Si1,aflow:8bc3f85e7c49bcd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/In1Pt5Si1_ICSD_640309,123,tP7,201.922
Ho4Re8,aflow:5f69850e999c6954,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ho1Re2_ICSD_639615,194,hP12,201.937
Os2P4,aflow:4aeb1c4c461b8d39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1P2_ICSD_42609,58,oP6,202.022
P4V8,aflow:79e662353889e0c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1V2_ICSD_648271,62,oP12,202.131
Hf3Mo3P3,aflow:753543379bcaabe7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Mo1P1_ICSD_88151,189,hP9,202.268
Pd2Ta2,aflow:95dfffbce61b0b9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pd1Ta1_ICSD_648973,129,tP4,202.329
O1Ta4,aflow:e3da235a562628d0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/O1Ta4_ICSD_76022,123,tP5,202.526
O4Ti2,aflow:587070faf1466d87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Ti1_ICSD_109469,136,tP6,202.612
Nb6Rh2,aflow:59adc4bbf51db268,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb3Rh1_ICSD_105216,223,cP8,202.622
C1Er1Rh3,aflow:02dec0b796759ab7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Er1Rh3_ICSD_108131,221,cP5,202.65
Ge4Nb4Rh4,aflow:56871722031ba9a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Nb1Rh1_ICSD_637230,62,oP12,202.738
Ga1Ru1,aflow:a8e4a8cd457eb606,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ga1Ru1_ICSD_103950,221,cP2,202.872
C1Lu1Rh3,aflow:c8bf0fc0acaf2a94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Lu1Rh3_ICSD_77151,221,cP5,202.942
