formula,target
Ru3Zr1,200.044
Ir4Th2,200.133
Fe2Ge1Ti1,200.25
Re8Y4,200.267
B24Ru4Y8,200.315
B4Ti4,200.412
Pt5Pu1,200.489
Nb6Pt2,200.567
Al2N2,200.631
Dy2Ir4,200.644
C1Ho1Rh3,200.678
Ni4O8Si2,200.894
Ru8Si12,200.907
Cr4O8,200.917
Hf3Ru3Si3,200.924
Dy4Re8,200.932
Re8Tb4,200.971
Mo1Si2,201.011
Al8C4Ta12,201.144
Cr4O12W2,201.29
Co2Mo2P4,201.46
O8Si2Zr2,201.556
Al1Ru1,201.778
In1Pt5Si1,201.922
Ho4Re8,201.937
Os2P4,202.022
P4V8,202.131
Hf3Mo3P3,202.268
Pd2Ta2,202.329
O1Ta4,202.526
O4Ti2,202.612
Nb6Rh2,202.622
C1Er1Rh3,202.65
Ge4Nb4Rh4,202.738
Ga1Ru1,202.872
C1Lu1Rh3,202.942
C4Co2Sc2,202.969
Ho2Ir4,203.006
Mo3Si6,203.017
C4Co8Mo16,203.15
Ag1Pt5Si1,203.29
In1P1Pt5,203.653
O8Pa4,203.8
O2Pa1,203.928
As2C2Nb4,203.947
B2Ho1Ru3,204.827
Co2P4W2,204.926
H1Ni1,205.111
C1Nb1,205.122
N8Zr6,205.144
Er2Ir4,205.167
B24Re4Y8,205.328
Pt2Si1,205.521
B1Ce1Rh3,205.611
Al3Os2,205.633
Pb1Pt5Si1,205.654
Re3Si3Zr3,205.738
Ho4Os8,205.768
Be2O2,205.993
Co2V6,206.111
Ce4Os8,206.592
C8W4Y4,206.894
P4Ru4Zr4,206.969
P3Ru3Zr3,207.033
Na1O3W1,207.067
Os8Tb4,207.293
Lu1Pt3,207.483
Be2C1,207.489
P2Rh3,207.556
Li1Pt7,207.578
Be1O1,207.65
N1Pd1,207.717
Pd3Ta1,207.721
B8Ho4Os4,207.888
Ni2Ta1,207.91
B8Dy4Os4,207.981
Pt3Zn1,207.989
Fe2Ga1V1,207.994
B24Os4Y8,208.095
Co4Nb4P4,208.103
Ge3Hf3Os3,208.519
P1Pt5Zn1,208.6
C2Ge6Mo10,208.601
Be1Rh1,208.917
Os8Y4,209.012
B12Ni1,209.072
Ga2Pt6,209.077
O6V4,209.23
Ir4U2,209.944
Ge4Rh4Ta4,210.001
Mo6Sn2,210.317
Mo1P1,210.33
C8Pu4W4,210.381
Pd2Ta1,210.437
As4Rh8,210.832
Ru1Ti1,210.844
O8Pt6,210.867
C1Pd1,210.867
Al1Fe2V1,210.978
Be6N4,211.013
Ge6Mo10,211.199
Si2Ta4,211.222
Os4Si4Zr4,211.272
Al1Ni2V1,211.389
C1Rh3Sc1,211.456
Ga1Pt3,211.667
Pt2V6,212.061
Dy4Os8,212.178
W4Zr2,212.211
Hf1Ru3,212.278
C1Si1,212.356
Hf4Ir4Si4,212.386
Nb1Ru1,212.494
Ga1P1Pt5,212.521
Mn2Sn1W1,212.522
Al2C6V8,212.584
C8Si8,212.66
Ge6N8,212.694
C6Si6,212.715
C21Si21,212.734
Os1Zr1,212.794
C14Si14,212.843
C19Si19,212.872
C10Si10,212.969
Nb4P4V4,212.983
Fe2V6,213.006
C2Si2,213.043
N2P2V6,213.133
C4Si4,213.137
Ru4Si4,213.195
Os4Th2,213.228
C16Si16,213.383
Co4Si4V4,213.436
C18Si18,213.463
Rh2V6,213.611
O8Ti4,213.647
Si2W1,213.699
Tc8Zr4,213.725
Nb2Pt2,213.869
Rh3Zr1,214.083
Ni2P2Ta8,214.116
Ca4O12Si4,214.132
Be24N16,214.235
Pt8V1,214.682
Mg1P1Pt5,214.696
N4Ta2,214.716
Hf2O8Si2,214.761
Ca2O6Si2,214.781
B1Rh3Zr1,214.928
Ca1O3Si1,215.028
H1Rh1,215.047
O6Ti4,215.245
Co2P2Ta8,215.646
Ir5La1,215.65
Er4Os8,215.673
B4Ti3,215.714
P3Ru3Ti3,215.726
Mo2O12Rh4,215.805
C1Pt1,215.833
O8Zr4,215.848
Re3Si3Ti3,215.946
Be8W4,216.052
Dy1Ir3,216.133
Ir1Ti1,216.143
Si6W3,216.474
B6Ni21Zr2,216.511
Al4O10Si2,216.629
Ni3Si1,216.661
Ir4Sc2,216.667
B2Ru3Tb1,216.753
Hg1Ni1,217.228
Co2Ta4,217.424
O4Rh2,217.514
Pd2Ti1,217.608
B12Y1,217.678
C1Zr1,217.69
Nb6Ni16Si7,217.711
Ge4O8,217.891
B12Sc1,217.944
Ga1Ir1,217.956
N4Nb16Ni8,217.983
Hf3P3Ru3,218.111
B12Dy1,218.267
Pt7Sb1,218.294
Hf3Re3Si3,218.335
Be4N8Si4,218.681
Ni6Ta2,218.686
Re1Ti1,218.689
B12Ho1,218.689
B4Si2V10,218.779
B8Fe2,218.982
C2Fe12W12,219.328
C1Ru3Th1,219.583
Ce2Os4,219.611
N1Zr1,219.664
Re1Si2,219.691
Hf2W4,219.822
C2Nb4P2,219.828
O6Rh4,219.839
N2V2,219.854
Al6B4Ru8,219.914
B6Hf2Ni21,219.95
Re8Sc4,220.071
Al4Pt12,220.108
Mo2O4,220.302
Ir4Lu2,220.422
O4Pt2,220.527
Cu1Pt7,220.533
C1Ta1,220.633
B12Tb1,220.656
Al1Re1,220.767
C8U4W4,220.858
N6Ta2Th2,220.92
Al2Mo6,220.922
B12Er1,220.933
Mo3Ti1,221.103
O14Pt4Sb4,221.178
Al8C4Mo12,221.206
Be2N4Si2,221.348
B28,221.433
Nb6Rh6,221.456
Hf1Rh3,221.583
N1Pa1,221.75
Ir2Nb6,221.783
Fe4Si4,222.14
Hf4O8,222.234
Nb1Rh1,222.415
Ga2Mo6,222.439
B8Th2W2,222.575
Ni4P4Ta5,222.689
Nb4Pt4Si4,222.788
Al2C6Nb8,222.822
C1Cr1,223.033
Ni4P4Ta4,223.173
Pt3V1,223.35
Be2Mo6,223.556
Pt3Zr1,223.6
B6Hf3Ni20,223.817
Hf3Os3Si3,224.023
Mn1V1,224.467
Cr1O2,224.494
Os4Si4,224.574
Ni16Si7Ta6,224.583
Mo6Si4,224.628
C2Mg2N4,224.651
C2Nb2,225.053
Nb6Os2,225.283
Al1Tc2,225.36
Mo8P5,225.482
C4Nb16Rh8,225.506
Ir1V1,225.643
Rh4Si4,225.697
Ge6W10,225.721
B8Rh8Tb2,225.94
Al1Pt3,225.972
Rh3Ti1,225.972
P7Ru12Sc2,226.107
Hf2N4,226.598
Os4P4Zr4,226.905
Nb4Rh4Si4,227.176
O3W1,227.467
C1Rh1,227.583
