compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_bulk_modulus_voigt
Ag2I2,aflow:008f8da25d4acde9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,129,tP4,11.462
As4Co2,aflow:00d4123713eaf16f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Co1_ICSD_610034,58,oP6,124.944
Pt10Se8,aflow:0035c52ef4fe3fdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,14,mP18,132.491
Cs3In9,aflow:006fb71322057339,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,119,tI24,21.7241
Ag1Zr2,aflow:0096426c57ae3f16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,139,tI6,94.5037
Nb2P2,aflow:001a4bbb607a30b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,141,tI8,169.852
Ca1S1,aflow:007edcc20ee1c898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,225,cF8,57.1111
Ca2Ga4,aflow:01cd2fc4dc2035af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_260645,194,hP6,52.1657
S6Zn6,aflow:01f91f60cd246632,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Zn1_ICSD_42798,186,hP12,71.1111
Ho12Ru4,aflow:01692a28f1f2dd06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ho3Ru1_ICSD_639642,62,oP16,64.138
Si2Th1,aflow:01f2970f2341e9d8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2Th1_ICSD_15449,191,hP3,101.044
Pb3Yb1,aflow:0132ab6b9cddd429,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Yb1_ICSD_105646,221,cP4,25.6389
F9Y3,aflow:012e952be3f6311f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3Y1_ICSD_15961,221,cP12,96.7167
Li2Se1,aflow:01a70da6b0c35513,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2Se1_ICSD_168446,225,cF12,33.8722
As8Ga8,aflow:01fa5c13aa409040,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Ga1_ICSD_41992,205,cP16,60.6019
Ir8Zr16,aflow:0164efa5098257b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1Zr2_ICSD_641208,227,cF96,135.017
Ce1Tl3,aflow:018580c862562859,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1Tl3_ICSD_102295,221,cP4,57.2667
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,119.661
Er1Hg2,aflow:01f4a70d35a43898,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Hg2_ICSD_103246,191,hP3,69.613
Cu36Ga16,aflow:015780f696dcf7c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu9Ga4_ICSD_627389,215,cP52,118.55
Ga3Ni5,aflow:01ab8b80d4bc4c9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga3Ni5_ICSD_103861,65,oS16,172.074
As1Rh2,aflow:01a40028ad8815a4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Rh2_ICSD_43362,225,cF12,195.45
La3Sn7,aflow:011b17af29b373b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La3Sn7_ICSD_261872,65,oS20,52.4019
Sc4Te4,aflow:02c358a7dc44aac2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1Te1_ICSD_262042,194,hP8,63.6389
Pd1Zr2,aflow:0262e761a2b03f0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd1Zr2_ICSD_105758,139,tI6,123.996
